url,primary_query,impressions,ctr,avg_position,estimated_click_uplift,status,health_class,final_url,title,title_length,meta_length,canonical,robots,error
https://www.biyapay.com/compare/best-USD-PHP-exchange-rate?amount=1500,1500 dollars to philippine peso,22598,0.0,7.89,338,500,technical_blocker,https://www.biyapay.com/compare/best-USD-PHP-exchange-rate?amount=1500,,0,0,,,Internal Server Error
https://www.biyapay.com/compare/best-AED-INR-exchange-rates?amount=3000,,16146,0.01,8.12,241,500,technical_blocker,https://www.biyapay.com/compare/best-AED-INR-exchange-rates?amount=3000,,0,0,,,Internal Server Error
https://www.biyapay.com/compare/best-AED-INR-exchange-rate?amount=1500,1500 dirhams in rupees,14283,0.01,8.99,212,500,technical_blocker,https://www.biyapay.com/compare/best-AED-INR-exchange-rate?amount=1500,,0,0,,,Internal Server Error
https://www.biyapay.com/compare/best-USD-PKR-exchange-rate?amount=1500,,12604,0.01,6.88,188,500,technical_blocker,https://www.biyapay.com/compare/best-USD-PKR-exchange-rate?amount=1500,,0,0,,,Internal Server Error
https://www.biyapay.com/compare/best-USD-GBP-exchange-rate?amount=1500,,11778,0.0,8.57,177,500,technical_blocker,https://www.biyapay.com/compare/best-USD-GBP-exchange-rate?amount=1500,,0,0,,,Internal Server Error
https://www.biyapay.com/compare/best-JPY-USD-exchange-rates?amount=1500,,7960,0.0,8.18,119,500,technical_blocker,https://www.biyapay.com/compare/best-JPY-USD-exchange-rates?amount=1500,,0,0,,,Internal Server Error
https://www.biyapay.com/compare/best-USD-INR-exchange-rate?amount=1500,,7717,0.0,8.41,116,500,technical_blocker,https://www.biyapay.com/compare/best-USD-INR-exchange-rate?amount=1500,,0,0,,,Internal Server Error
https://www.biyapay.com/compare/best-USD-AUD-exchange-rate?amount=1500,,6153,0.02,8.67,91,500,technical_blocker,https://www.biyapay.com/compare/best-USD-AUD-exchange-rate?amount=1500,,0,0,,,Internal Server Error
https://www.biyapay.com/compare/best-PHP-USD-exchange-rates?amount=20000,,5915,0.0,9.43,89,500,technical_blocker,https://www.biyapay.com/compare/best-PHP-USD-exchange-rates?amount=20000,,0,0,,,Internal Server Error
https://www.biyapay.com/compare/best-EUR-USD-exchange-rates?amount=1500,1500 euro to usd,5267,0.02,8.71,78,500,technical_blocker,https://www.biyapay.com/compare/best-EUR-USD-exchange-rates?amount=1500,,0,0,,,Internal Server Error
https://www.biyapay.com/compare/best-JPY-USD-exchange-rate?amount=1500,,4969,0.0,6.88,75,500,technical_blocker,https://www.biyapay.com/compare/best-JPY-USD-exchange-rate?amount=1500,,0,0,,,Internal Server Error
https://www.biyapay.com/compare/best-HKD-USD-exchange-rate?amount=1500,1500 hong kong dollars to usd,5089,0.04,6.81,74,500,technical_blocker,https://www.biyapay.com/compare/best-HKD-USD-exchange-rate?amount=1500,,0,0,,,Internal Server Error
