page_key,url,query,clicks,impressions,ctr,position
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,685000 dirham to pkr,0,10,0,8.3
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,cash million dirhams,0,3,0,11.67
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,1100 dirham in pakistani rupees,0,1,0,8
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,1350 dirham,0,1,0,9
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,179000,0,1,0,9
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,20 crore,0,1,0,11
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,darham in pakistan,0,1,0,50
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,derham price,0,1,0,16
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,dharam rate in pakistan today,0,1,0,27
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,diram price in pakistan,0,1,0,18
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,dirham to pkr,0,1,0,9
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,dirhum rate,0,1,0,28
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,dirm to pkr,0,1,0,31
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,drm to pkr,0,1,0,54
converter_aed_pkr,https://www.biyapay.com/en/converter/AED-PKR-converter,pakistani,0,1,0,12
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,3000欧元等于多少美元,0,142,0,7.68
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,1欧元等于多少美元,0,140,0,11.03
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,1500欧元等于多少美元,0,104,0,6.71
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,1欧元等于多少美金,0,95,0,10.32
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,一欧元等于多少美金,0,75,0,9.93
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,欧元兑换美元,0,62,0,14.87
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,1000欧元等于多少美元,0,52,0,10.73
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,15欧元等于多少美元,0,47,0,9.45
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,15000欧元等于多少美元,0,42,0,7.48
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,欧元兑换美金,0,41,0,11.95
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,300欧元等于多少美元,0,38,0,10.11
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,欧元换算美元,0,35,0,11.71
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,1000欧元是多少美金,0,34,0,10.29
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,欧元换算美金,0,34,0,12.03
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,30000欧元等于多少美元,0,33,0,7.33
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,欧元兑美元,0,33,0,22.76
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,1万欧元等于多少美元,0,32,0,8.97
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,德国兑换美元,0,31,0,10.45
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,eur兑换美元,0,29,0,11.07
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,一欧元等于多少美元,0,27,0,9.81
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,3万欧元等于多少美元,0,25,0,8.24
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,欧元转美金,0,24,0,13.38
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,5000欧元等于多少美元,0,22,0,10.82
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,5欧元等于多少美元,0,22,0,10.23
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,欧元换美元,0,20,0,16.7
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,欧元美元汇率计算,0,20,0,8.65
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,3000欧元等于多少美金,0,19,0,7.32
converter_eur_usd,https://www.biyapay.com/zh/converter/EUR-USD-converter,欧元美元换算,0,18,0,14.67
